player,EScore,EType,PlayStyle,SessionVariance,RecentActivityRatio,Loyalty,UserValue,EScoreRank
1002434,43.85,Core,Burst,28.71,0.53,16.90,Low,648
1002488,43.83,Core,Balance,22.67,0.44,20.48,Low,649
1002015,43.80,Core,Balance,51.4,0.57,41.87,Medium,650
1002331,43.79,Core,Balance,72.4,0.57,42.79,Medium,651
1002708,43.77,Core,Balance,37.37,0.46,28.19,Low,652
1002790,43.72,Core,Balance,60.69,0.44,40.75,Medium,653
1002280,43.71,Core,Burst,22.19,0.46,16.49,Low,654
1002172,43.70,Core,Balance,60.04,0.50,43.22,Medium,655
1002067,43.70,Core,Balance,70.33,0.57,41.58,Medium,655
1002384,43.70,Core,Balance,26.57,0.54,30.29,Medium,655
1002465,43.69,Core,Burst,27.57,0.48,18.11,Low,658
1002739,43.66,Core,Balance,26.79,0.55,30.02,Medium,659
1002792,43.66,Core,Balance,60.81,0.50,46.81,High,660
1002868,43.63,Core,Balance,26.87,0.50,14.87,Low,661
1002958,43.61,Core,Balance,49.76,0.45,30.23,Medium,662
1002731,43.60,Core,Burst,22.93,0.57,17.82,Low,663
1002528,43.59,Core,Balance,41.1,0.44,43.68,Medium,664
1002906,43.59,Core,Balance,40.15,0.50,30.04,Medium,665
1002567,43.58,Core,Burst,22.38,0.54,18.34,Low,666
1002539,43.47,Core,Balance,33.72,0.61,23.12,Low,667
1002603,43.44,Core,Balance,21.23,0.33,22.65,Low,668
1002142,43.43,Core,Balance,46.58,0.56,24.30,Low,669
1002649,43.42,Core,Balance,18.09,0.40,20.32,Low,670
1002069,43.38,Core,Balance,27.23,0.54,29.36,Medium,671
1002833,43.33,Core,Balance,38.64,0.39,19.74,Low,672
1002168,43.32,Core,Balance,47.8,0.44,49.95,High,673
1002984,43.31,Core,Burst,22.67,0.47,16.44,Low,674
1002756,43.30,Core,Balance,64.58,0.67,43.59,Medium,675
1002625,43.30,Core,Balance,44.88,0.50,34.85,Medium,675
1002549,43.30,Core,Balance,42.02,0.42,24.63,Low,675
1002269,43.29,Core,Burst,37.04,0.54,19.16,Low,678
1002895,43.26,Core,Balance,33.61,0.47,21.26,Low,679
1002185,43.25,Core,Balance,33.28,0.57,23.36,Low,680
1002525,43.23,Core,Balance,33.3,0.60,34.13,Medium,681
1002609,43.21,Core,Balance,27.11,0.40,31.11,Medium,682
1002820,43.21,Core,Burst,22.85,0.46,17.16,Low,683
1002815,43.16,Core,Balance,35.05,0.50,19.34,Low,684
1002148,43.15,Core,Balance,29.79,0.55,25.83,Low,685
1002347,43.13,Core,Balance,74.18,0.57,40.69,Medium,686
1002266,43.11,Core,Balance,48.19,0.63,42.43,Medium,687
1002250,43.09,Core,Balance,35.72,0.56,22.07,Low,688
1002712,43.08,Core,Balance,47.74,0.56,50.48,High,689
1002982,43.02,Core,Balance,44.37,0.44,59.96,High,690
1002283,43.01,Core,Balance,53.05,0.63,41.32,Medium,691
1002587,43.01,Core,Balance,53.96,0.50,43.37,Medium,691
1002253,42.97,Core,Balance,64.75,0.57,45.52,High,693
1002408,42.96,Core,Burst,14.45,0.43,17.90,Low,694
1002124,42.95,Core,Burst,13.15,0.55,16.64,Low,695
1002493,42.91,Core,Balance,41.63,0.57,43.84,Medium,696
1002785,42.91,Core,Balance,43.74,0.50,30.57,Medium,697
1002717,42.89,Core,Burst,19.65,0.40,19.04,Low,698
1002242,42.85,Core,Balance,55.86,0.63,43.01,Medium,699
1002499,42.85,Core,Balance,35.24,0.42,30.87,Medium,699
1002881,42.83,Core,Balance,30.23,0.50,20.38,Low,701
1002579,42.79,Core,Balance,29.2,0.46,32.01,Medium,702
1002372,42.73,Core,Balance,33.91,0.46,29.30,Medium,703
1002724,42.71,Core,Burst,15.3,0.54,15.59,Low,704
1002897,42.70,Core,Balance,44.33,0.57,46.61,High,705
1002696,42.70,Core,Balance,41.99,0.55,51.67,High,705
1002858,42.69,Core,Balance,41.73,0.50,28.67,Low,707
1002943,42.68,Core,Balance,48.34,0.50,32.36,Medium,708
1002426,42.63,Core,Balance,63.56,0.50,47.43,High,709
1002892,42.63,Core,Balance,56.05,0.57,43.48,Medium,710
1002802,42.59,Core,Balance,22.91,0.44,24.55,Low,711
1002494,42.48,Core,Balance,38.58,0.42,47.02,High,712
1002817,42.38,Core,Balance,34.57,0.58,29.59,Medium,713
1002519,42.36,Core,Balance,33.24,0.53,25.71,Low,714
1002073,42.35,Core,Balance,62.07,0.50,44.43,High,715
1002933,42.35,Core,Balance,50.99,0.50,54.12,High,715
1002453,42.33,Core,Burst,24.58,0.50,17.94,Low,717
1002297,42.31,Core,Balance,38.56,0.45,46.55,High,718
1002443,42.30,Core,Balance,60,0.50,35.58,Medium,719
